,Date,User,Tweet
68,2022-06-30 10:56:21+00:00,sharadgoswamis,dear #AshokGehlot #Udapiur is terror act done by extremist Muslims. The root cause is not nupur sharma but training that justifies killing for blasphemy. It has been happening since 7th century across the globe. Stop running from truth. World needs 2 confront the truth.
69,2022-06-30 10:56:16+00:00,bbbehera52,CM @ashokgehlot51 you did a noble job the world remember you as MOST SECULAR CHIEF MINISTER WE INDIANS ARE PROUD OF YOU U assured to give job to two people besides exgratia of Rs 50 lakhs. But why Govt @PMOIndia failed to punish the story writer @NupurSharmaBJP @navikakumar https://t.co/6Zv0wEuCwH
70,2022-06-30 10:55:58+00:00,SrinjoyGhosh1,@OpIndia_com Support nupur sharma may creates even further
71,2022-06-30 10:55:16+00:00,tusharzzz83,"Nupur Sharma ke against bharat band hua tha, Kaniya ke murder ke baad Bharat band kyo nahi? Yehi hai hindu rashtra? Kanpur mein dange kyo hue thae kyunki zabardasti hinduo ki shop band karvayi thi, bharat band karvayo attankiyo ki pechan ho jayegi @myogiadityanath @BJP4India"
72,2022-06-30 10:54:59+00:00,mohammed6ohail,"@mondal_amulya @dahrinoor2 @NupurSharmaBJP Angry on both, these media channels bring radical idiots on there shows and Make riots between 2 communities"
73,2022-06-30 10:54:56+00:00,04_aditya_singh,"I knew you had no hair, now it's confirmed you have no pair. 

#udaipur #KanhaiyalalTeli #HinduLivesMatters 
#Nupursharma #islamexposed https://t.co/H7lQOehsY4"
74,2022-06-30 10:54:42+00:00,ShahZedan,What do we say Jaisi Karni Waisi Bharni in English? until nupur sharma found game is continue... #Udaipur
75,2022-06-30 10:54:27+00:00,ShahZedan,@AwakenedSanata1 What do we say Jaisi Karni Waisi Bharni in English? until nupur sharma found game is continue...
76,2022-06-30 10:54:20+00:00,ShahZedan,#KanhaiyaLal What do we say Jaisi Karni Waisi Bharni in English? until nupur sharma found game is continue...
77,2022-06-30 10:54:16+00:00,tusharzzz83,"@KapilMishra_IND Nupur Sharma ke against bharat band hua tha, Kaniya ke murder ke baad Bharat band kyo nahi? Yehi hai hindu rashtra? Kanpur mein dange kyo hue thae kyunki zabardasti hinduo ki shop band karvayi thi, bharat band karvayo attankiyo ki pechan ho jayegi"
